2010-10-13 11:13:36,438 | INFO   | sent message from yezooz to balba
2010-10-13 11:13:36,438 | INFO   | sent message from yezooz to balba
2010-10-13 13:40:15,929 | INFO   | sent message from yezooz to yezooz
2010-10-13 13:40:15,929 | INFO   | sent message from yezooz to yezooz
2010-10-13 14:12:33,698 | INFO   | sent message from yezooz to yezooz
2010-10-13 14:12:33,698 | INFO   | sent message from yezooz to yezooz
2010-10-13 15:17:10,489 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-10-13 15:17:10,489 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-10-13 15:17:10,535 | DEBUG  | Stat yezooz. garage, cars=4.
2010-10-13 15:17:10,535 | DEBUG  | Stat yezooz. garage, cars=4.
2010-10-13 15:17:10,546 | DEBUG  | Stat yezooz. car_manuf, Peugeot=1.
2010-10-13 15:17:10,546 | DEBUG  | Stat yezooz. car_manuf, Peugeot=1.
2010-10-13 15:17:10,561 | DEBUG  | Stat yezooz. car_country, France=3.
2010-10-13 15:17:10,561 | DEBUG  | Stat yezooz. car_country, France=3.
2010-10-13 15:17:10,575 | DEBUG  | Stat yezooz. car_tier, 1=5.
2010-10-13 15:17:10,575 | DEBUG  | Stat yezooz. car_tier, 1=5.
2010-10-13 15:17:10,585 | DEBUG  | Stat yezooz. car_manuf, Peugeot=2.
2010-10-13 15:17:10,585 | DEBUG  | Stat yezooz. car_manuf, Peugeot=2.
2010-10-13 15:17:10,594 | DEBUG  | Stat yezooz. car_country, France=4.
2010-10-13 15:17:10,594 | DEBUG  | Stat yezooz. car_country, France=4.
2010-10-13 15:17:10,603 | DEBUG  | Stat yezooz. car_tier, 1=6.
2010-10-13 15:17:10,603 | DEBUG  | Stat yezooz. car_tier, 1=6.
2010-10-13 15:17:10,614 | DEBUG  | Stat yezooz. car_year, 2000=3.
2010-10-13 15:17:10,614 | DEBUG  | Stat yezooz. car_year, 2000=3.
2010-10-13 15:17:10,623 | DEBUG  | Stat yezooz. car_bhp, 74=2.
2010-10-13 15:17:10,623 | DEBUG  | Stat yezooz. car_bhp, 74=2.
2010-10-13 15:17:10,631 | DEBUG  | Stat yezooz. car_speed, 170=1.
2010-10-13 15:17:10,631 | DEBUG  | Stat yezooz. car_speed, 170=1.
2010-10-13 15:17:10,640 | DEBUG  | Stat yezooz. car_weight, 1200=1.
2010-10-13 15:17:10,640 | DEBUG  | Stat yezooz. car_weight, 1200=1.
2010-10-13 15:17:10,642 | INFO   | yezooz just earned 1000 cash
2010-10-13 15:17:10,642 | INFO   | yezooz just earned 1000 cash
2010-10-13 15:17:10,649 | DEBUG  | Stat yezooz. cash, earn_cash=1000.
2010-10-13 15:17:10,649 | DEBUG  | Stat yezooz. cash, earn_cash=1000.
2010-10-13 15:17:10,656 | DEBUG  | Stat yezooz. cash, earn_cash=6500.
2010-10-13 15:17:10,656 | DEBUG  | Stat yezooz. cash, earn_cash=6500.
2010-10-13 15:17:10,657 | INFO   | yezooz just earned 10 exp
2010-10-13 15:17:10,657 | INFO   | yezooz just earned 10 exp
2010-10-13 15:17:10,664 | DEBUG  | Stat yezooz. exp, earn_exp=10.
2010-10-13 15:17:10,664 | DEBUG  | Stat yezooz. exp, earn_exp=10.
2010-10-13 15:17:10,672 | DEBUG  | Stat yezooz. exp, earn_exp=73.
2010-10-13 15:17:10,672 | DEBUG  | Stat yezooz. exp, earn_exp=73.
2010-10-13 15:17:10,687 | DEBUG  | Stat yezooz. job, done=1.
2010-10-13 15:17:10,687 | DEBUG  | Stat yezooz. job, done=1.
2010-10-13 15:17:58,176 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-13 15:17:58,176 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-13 15:17:58,186 | DEBUG  | Stat yezooz. garage, cars=5.
2010-10-13 15:17:58,186 | DEBUG  | Stat yezooz. garage, cars=5.
2010-10-13 15:17:58,195 | DEBUG  | Stat yezooz. car_manuf, Peugeot=3.
2010-10-13 15:17:58,195 | DEBUG  | Stat yezooz. car_manuf, Peugeot=3.
2010-10-13 15:17:58,204 | DEBUG  | Stat yezooz. car_country, France=5.
2010-10-13 15:17:58,204 | DEBUG  | Stat yezooz. car_country, France=5.
2010-10-13 15:17:58,213 | DEBUG  | Stat yezooz. car_tier, 1=7.
2010-10-13 15:17:58,213 | DEBUG  | Stat yezooz. car_tier, 1=7.
2010-10-13 15:17:58,222 | DEBUG  | Stat yezooz. car_manuf, Peugeot=4.
2010-10-13 15:17:58,222 | DEBUG  | Stat yezooz. car_manuf, Peugeot=4.
2010-10-13 15:17:58,235 | DEBUG  | Stat yezooz. car_country, France=6.
2010-10-13 15:17:58,235 | DEBUG  | Stat yezooz. car_country, France=6.
2010-10-13 15:17:58,247 | DEBUG  | Stat yezooz. car_tier, 1=8.
2010-10-13 15:17:58,247 | DEBUG  | Stat yezooz. car_tier, 1=8.
2010-10-13 15:17:58,263 | DEBUG  | Stat yezooz. car_year, 2000=4.
2010-10-13 15:17:58,263 | DEBUG  | Stat yezooz. car_year, 2000=4.
2010-10-13 15:17:58,275 | DEBUG  | Stat yezooz. car_bhp, 74=3.
2010-10-13 15:17:58,275 | DEBUG  | Stat yezooz. car_bhp, 74=3.
2010-10-13 15:17:58,287 | DEBUG  | Stat yezooz. car_speed, 170=2.
2010-10-13 15:17:58,287 | DEBUG  | Stat yezooz. car_speed, 170=2.
2010-10-13 15:17:58,299 | DEBUG  | Stat yezooz. car_weight, 1200=2.
2010-10-13 15:17:58,299 | DEBUG  | Stat yezooz. car_weight, 1200=2.
2010-10-13 15:17:58,302 | INFO   | yezooz just earned 1000 cash
2010-10-13 15:17:58,302 | INFO   | yezooz just earned 1000 cash
2010-10-13 15:17:58,312 | DEBUG  | Stat yezooz. cash, earn_cash=2000.
2010-10-13 15:17:58,312 | DEBUG  | Stat yezooz. cash, earn_cash=2000.
2010-10-13 15:17:58,322 | DEBUG  | Stat yezooz. cash, earn_cash=7500.
2010-10-13 15:17:58,322 | DEBUG  | Stat yezooz. cash, earn_cash=7500.
2010-10-13 15:17:58,322 | INFO   | yezooz just earned 10 exp
2010-10-13 15:17:58,322 | INFO   | yezooz just earned 10 exp
2010-10-13 15:17:58,332 | DEBUG  | Stat yezooz. exp, earn_exp=20.
2010-10-13 15:17:58,332 | DEBUG  | Stat yezooz. exp, earn_exp=20.
2010-10-13 15:17:58,339 | DEBUG  | Stat yezooz. exp, earn_exp=83.
2010-10-13 15:17:58,339 | DEBUG  | Stat yezooz. exp, earn_exp=83.
2010-10-13 15:17:58,356 | DEBUG  | Stat yezooz. job, done=2.
2010-10-13 15:17:58,356 | DEBUG  | Stat yezooz. job, done=2.
2010-10-13 15:17:58,366 | DEBUG  | Stat yezooz. job, done=4.
2010-10-13 15:17:58,366 | DEBUG  | Stat yezooz. job, done=4.
