2010-10-17 10:59:08,526 | DEBUG  | Stat yezooz. album, buy=1.
2010-10-17 10:59:08,526 | DEBUG  | Stat yezooz. album, buy=1.
2010-10-17 10:59:47,705 | DEBUG  | Stat yezooz. album, buy=2.
2010-10-17 10:59:47,705 | DEBUG  | Stat yezooz. album, buy=2.
2010-10-17 11:02:58,396 | DEBUG  | Stat yezooz. album, buy=3.
2010-10-17 11:02:58,396 | DEBUG  | Stat yezooz. album, buy=3.
2010-10-17 11:02:58,447 | DEBUG  | Stat yezooz. album, stick=1.
2010-10-17 11:02:58,447 | DEBUG  | Stat yezooz. album, stick=1.
2010-10-17 11:02:58,466 | DEBUG  | Stat yezooz. album, completed=1.
2010-10-17 11:02:58,466 | DEBUG  | Stat yezooz. album, completed=1.
2010-10-17 11:05:59,212 | DEBUG  | Stat yezooz. album, buy=4.
2010-10-17 11:05:59,212 | DEBUG  | Stat yezooz. album, buy=4.
2010-10-17 11:05:59,235 | DEBUG  | Stat yezooz. album, stick=2.
2010-10-17 11:05:59,235 | DEBUG  | Stat yezooz. album, stick=2.
2010-10-17 11:05:59,256 | DEBUG  | Stat yezooz. album, completed=2.
2010-10-17 11:05:59,256 | DEBUG  | Stat yezooz. album, completed=2.
2010-10-17 11:07:47,719 | DEBUG  | Stat yezooz. album, buy=5.
2010-10-17 11:07:47,719 | DEBUG  | Stat yezooz. album, buy=5.
2010-10-17 11:07:47,745 | DEBUG  | Stat yezooz. album, stick=3.
2010-10-17 11:07:47,745 | DEBUG  | Stat yezooz. album, stick=3.
2010-10-17 11:07:47,769 | DEBUG  | Stat yezooz. album, completed=3.
2010-10-17 11:07:47,769 | DEBUG  | Stat yezooz. album, completed=3.
2010-10-17 13:27:29,740 | DEBUG  | Stat yezooz. wishlist, add_item=1.
2010-10-17 13:27:29,740 | DEBUG  | Stat yezooz. wishlist, add_item=1.
2010-10-17 13:29:24,351 | DEBUG  | Stat yezooz. wishlist, remove_item=1.
2010-10-17 13:29:24,351 | DEBUG  | Stat yezooz. wishlist, remove_item=1.
2010-10-17 13:29:24,362 | DEBUG  | Stat yezooz. wishlist, remove_item=1.
2010-10-17 13:29:24,362 | DEBUG  | Stat yezooz. wishlist, remove_item=1.
2010-10-17 13:29:25,591 | DEBUG  | Stat yezooz. wishlist, remove_item=2.
2010-10-17 13:29:25,591 | DEBUG  | Stat yezooz. wishlist, remove_item=2.
2010-10-17 13:29:25,604 | DEBUG  | Stat yezooz. wishlist, remove_item=2.
2010-10-17 13:29:25,604 | DEBUG  | Stat yezooz. wishlist, remove_item=2.
2010-10-17 13:29:26,512 | DEBUG  | Stat yezooz. wishlist, remove_item=3.
2010-10-17 13:29:26,512 | DEBUG  | Stat yezooz. wishlist, remove_item=3.
2010-10-17 13:29:26,525 | DEBUG  | Stat yezooz. wishlist, remove_item=3.
2010-10-17 13:29:26,525 | DEBUG  | Stat yezooz. wishlist, remove_item=3.
2010-10-17 13:29:27,384 | DEBUG  | Stat yezooz. wishlist, remove_item=4.
2010-10-17 13:29:27,384 | DEBUG  | Stat yezooz. wishlist, remove_item=4.
2010-10-17 13:29:27,397 | DEBUG  | Stat yezooz. wishlist, remove_item=4.
2010-10-17 13:29:27,397 | DEBUG  | Stat yezooz. wishlist, remove_item=4.
2010-10-17 13:29:28,267 | DEBUG  | Stat yezooz. wishlist, remove_item=5.
2010-10-17 13:29:28,267 | DEBUG  | Stat yezooz. wishlist, remove_item=5.
2010-10-17 13:29:28,280 | DEBUG  | Stat yezooz. wishlist, remove_item=5.
2010-10-17 13:29:28,280 | DEBUG  | Stat yezooz. wishlist, remove_item=5.
2010-10-17 13:30:58,154 | DEBUG  | Stat yezooz. wishlist, add_item=2.
2010-10-17 13:30:58,154 | DEBUG  | Stat yezooz. wishlist, add_item=2.
2010-10-17 13:30:58,166 | DEBUG  | Stat yezooz. wishlist, add_item=1.
2010-10-17 13:30:58,166 | DEBUG  | Stat yezooz. wishlist, add_item=1.
2010-10-17 13:32:38,138 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-10-17 13:32:38,138 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-10-17 13:32:38,180 | DEBUG  | Stat yezooz. garage, cars=32.
2010-10-17 13:32:38,180 | DEBUG  | Stat yezooz. garage, cars=32.
2010-10-17 13:32:38,192 | DEBUG  | Stat yezooz. car_manuf, Peugeot=2.
2010-10-17 13:32:38,192 | DEBUG  | Stat yezooz. car_manuf, Peugeot=2.
2010-10-17 13:33:50,616 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-17 13:33:50,616 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-17 13:33:50,630 | DEBUG  | Stat yezooz. garage, cars=33.
2010-10-17 13:33:50,630 | DEBUG  | Stat yezooz. garage, cars=33.
2010-10-17 13:33:50,640 | DEBUG  | Stat yezooz. car_manuf, Peugeot=3.
2010-10-17 13:33:50,640 | DEBUG  | Stat yezooz. car_manuf, Peugeot=3.
2010-10-17 13:33:50,649 | DEBUG  | Stat yezooz. car_country, France=1.
2010-10-17 13:33:50,649 | DEBUG  | Stat yezooz. car_country, France=1.
2010-10-17 13:33:50,690 | DEBUG  | Stat yezooz. car_tier, 1=3.
2010-10-17 13:33:50,690 | DEBUG  | Stat yezooz. car_tier, 1=3.
2010-10-17 13:33:50,701 | DEBUG  | Stat yezooz. car_manuf, Peugeot=4.
2010-10-17 13:33:50,701 | DEBUG  | Stat yezooz. car_manuf, Peugeot=4.
2010-10-17 13:33:50,710 | DEBUG  | Stat yezooz. car_country, France=2.
2010-10-17 13:33:50,710 | DEBUG  | Stat yezooz. car_country, France=2.
2010-10-17 13:33:50,720 | DEBUG  | Stat yezooz. car_tier, 1=4.
2010-10-17 13:33:50,720 | DEBUG  | Stat yezooz. car_tier, 1=4.
2010-10-17 13:33:50,730 | DEBUG  | Stat yezooz. car_year, 2000=1.
2010-10-17 13:33:50,730 | DEBUG  | Stat yezooz. car_year, 2000=1.
2010-10-17 13:33:50,739 | DEBUG  | Stat yezooz. car_bhp, 59=1.
2010-10-17 13:33:50,739 | DEBUG  | Stat yezooz. car_bhp, 59=1.
2010-10-17 13:33:50,748 | DEBUG  | Stat yezooz. car_speed, 150=1.
2010-10-17 13:33:50,748 | DEBUG  | Stat yezooz. car_speed, 150=1.
2010-10-17 13:33:50,757 | DEBUG  | Stat yezooz. car_weight, 1000=1.
2010-10-17 13:33:50,757 | DEBUG  | Stat yezooz. car_weight, 1000=1.
2010-10-17 13:33:50,759 | INFO   | yezooz just earned 1000 cash
2010-10-17 13:33:50,759 | INFO   | yezooz just earned 1000 cash
2010-10-17 13:33:50,766 | DEBUG  | Stat yezooz. cash, earn=1000.
2010-10-17 13:33:50,766 | DEBUG  | Stat yezooz. cash, earn=1000.
2010-10-17 13:33:50,772 | DEBUG  | Stat yezooz. cash, earn=1000.
2010-10-17 13:33:50,772 | DEBUG  | Stat yezooz. cash, earn=1000.
2010-10-17 13:33:50,773 | INFO   | yezooz just earned 10 exp
2010-10-17 13:33:50,773 | INFO   | yezooz just earned 10 exp
2010-10-17 13:33:50,780 | DEBUG  | Stat yezooz. exp, earn=10.
2010-10-17 13:33:50,780 | DEBUG  | Stat yezooz. exp, earn=10.
2010-10-17 13:33:50,787 | DEBUG  | Stat yezooz. exp, earn=10.
2010-10-17 13:33:50,787 | DEBUG  | Stat yezooz. exp, earn=10.
2010-10-17 13:33:50,802 | DEBUG  | Stat yezooz. job, done=1.
2010-10-17 13:33:50,802 | DEBUG  | Stat yezooz. job, done=1.
2010-10-17 13:33:50,811 | DEBUG  | Stat yezooz. job, done=1.
2010-10-17 13:33:50,811 | DEBUG  | Stat yezooz. job, done=1.
2010-10-17 13:48:09,960 | DEBUG  | Stat yezooz. garage, cars_add=3.
2010-10-17 13:48:09,960 | DEBUG  | Stat yezooz. garage, cars_add=3.
2010-10-17 13:48:09,973 | DEBUG  | Stat yezooz. garage, cars=34.
2010-10-17 13:48:09,973 | DEBUG  | Stat yezooz. garage, cars=34.
2010-10-17 13:48:09,983 | DEBUG  | Stat yezooz. car_manuf, Fiat=1.
2010-10-17 13:48:09,983 | DEBUG  | Stat yezooz. car_manuf, Fiat=1.
2010-10-17 13:48:10,030 | DEBUG  | Stat yezooz. car_country, Italy=3.
2010-10-17 13:48:10,030 | DEBUG  | Stat yezooz. car_country, Italy=3.
2010-10-17 13:48:10,041 | DEBUG  | Stat yezooz. car_tier, 1=5.
2010-10-17 13:48:10,041 | DEBUG  | Stat yezooz. car_tier, 1=5.
2010-10-17 13:48:10,050 | DEBUG  | Stat yezooz. car_manuf, Fiat=2.
2010-10-17 13:48:10,050 | DEBUG  | Stat yezooz. car_manuf, Fiat=2.
2010-10-17 13:48:10,059 | DEBUG  | Stat yezooz. car_country, Italy=4.
2010-10-17 13:48:10,059 | DEBUG  | Stat yezooz. car_country, Italy=4.
2010-10-17 13:48:10,069 | DEBUG  | Stat yezooz. car_tier, 1=6.
2010-10-17 13:48:10,069 | DEBUG  | Stat yezooz. car_tier, 1=6.
2010-10-17 13:48:10,080 | DEBUG  | Stat yezooz. car_year, 2000=2.
2010-10-17 13:48:10,080 | DEBUG  | Stat yezooz. car_year, 2000=2.
2010-10-17 13:48:10,089 | DEBUG  | Stat yezooz. car_bhp, 74=1.
2010-10-17 13:48:10,089 | DEBUG  | Stat yezooz. car_bhp, 74=1.
2010-10-17 13:48:10,098 | DEBUG  | Stat yezooz. car_speed, 160=1.
2010-10-17 13:48:10,098 | DEBUG  | Stat yezooz. car_speed, 160=1.
2010-10-17 13:48:10,106 | DEBUG  | Stat yezooz. car_weight, 900=1.
2010-10-17 13:48:10,106 | DEBUG  | Stat yezooz. car_weight, 900=1.
2010-10-17 13:48:10,108 | INFO   | yezooz just earned 1000 cash
2010-10-17 13:48:10,108 | INFO   | yezooz just earned 1000 cash
2010-10-17 13:48:10,116 | DEBUG  | Stat yezooz. cash, earn=2000.
2010-10-17 13:48:10,116 | DEBUG  | Stat yezooz. cash, earn=2000.
2010-10-17 13:48:10,124 | DEBUG  | Stat yezooz. cash, earn=2000.
2010-10-17 13:48:10,124 | DEBUG  | Stat yezooz. cash, earn=2000.
2010-10-17 13:48:10,124 | INFO   | yezooz just earned 10 exp
2010-10-17 13:48:10,124 | INFO   | yezooz just earned 10 exp
2010-10-17 13:48:10,132 | DEBUG  | Stat yezooz. exp, earn=20.
2010-10-17 13:48:10,132 | DEBUG  | Stat yezooz. exp, earn=20.
2010-10-17 13:48:10,139 | DEBUG  | Stat yezooz. exp, earn=20.
2010-10-17 13:48:10,139 | DEBUG  | Stat yezooz. exp, earn=20.
2010-10-17 13:48:10,156 | DEBUG  | Stat yezooz. job, done=2.
2010-10-17 13:48:10,156 | DEBUG  | Stat yezooz. job, done=2.
2010-10-17 13:48:10,165 | DEBUG  | Stat yezooz. job, done=2.
2010-10-17 13:48:10,165 | DEBUG  | Stat yezooz. job, done=2.
2010-10-17 13:48:15,527 | DEBUG  | Stat yezooz. garage, cars_add=4.
2010-10-17 13:48:15,527 | DEBUG  | Stat yezooz. garage, cars_add=4.
2010-10-17 13:48:15,539 | DEBUG  | Stat yezooz. garage, cars=35.
2010-10-17 13:48:15,539 | DEBUG  | Stat yezooz. garage, cars=35.
2010-10-17 13:48:15,550 | DEBUG  | Stat yezooz. car_manuf, Fiat=3.
2010-10-17 13:48:15,550 | DEBUG  | Stat yezooz. car_manuf, Fiat=3.
2010-10-17 13:48:15,559 | DEBUG  | Stat yezooz. car_country, Italy=5.
2010-10-17 13:48:15,559 | DEBUG  | Stat yezooz. car_country, Italy=5.
2010-10-17 13:48:15,569 | DEBUG  | Stat yezooz. car_tier, 1=7.
2010-10-17 13:48:15,569 | DEBUG  | Stat yezooz. car_tier, 1=7.
2010-10-17 13:48:15,579 | DEBUG  | Stat yezooz. car_manuf, Fiat=4.
2010-10-17 13:48:15,579 | DEBUG  | Stat yezooz. car_manuf, Fiat=4.
2010-10-17 13:48:15,589 | DEBUG  | Stat yezooz. car_country, Italy=6.
2010-10-17 13:48:15,589 | DEBUG  | Stat yezooz. car_country, Italy=6.
2010-10-17 13:48:15,599 | DEBUG  | Stat yezooz. car_tier, 1=8.
2010-10-17 13:48:15,599 | DEBUG  | Stat yezooz. car_tier, 1=8.
2010-10-17 13:48:15,610 | DEBUG  | Stat yezooz. car_year, 2000=3.
2010-10-17 13:48:15,610 | DEBUG  | Stat yezooz. car_year, 2000=3.
2010-10-17 13:48:15,620 | DEBUG  | Stat yezooz. car_bhp, 74=2.
2010-10-17 13:48:15,620 | DEBUG  | Stat yezooz. car_bhp, 74=2.
2010-10-17 13:48:15,631 | DEBUG  | Stat yezooz. car_speed, 160=2.
2010-10-17 13:48:15,631 | DEBUG  | Stat yezooz. car_speed, 160=2.
2010-10-17 13:48:15,640 | DEBUG  | Stat yezooz. car_weight, 900=2.
2010-10-17 13:48:15,640 | DEBUG  | Stat yezooz. car_weight, 900=2.
2010-10-17 13:48:15,643 | INFO   | yezooz just earned 1000 cash
2010-10-17 13:48:15,643 | INFO   | yezooz just earned 1000 cash
2010-10-17 13:48:15,651 | DEBUG  | Stat yezooz. cash, earn=3000.
2010-10-17 13:48:15,651 | DEBUG  | Stat yezooz. cash, earn=3000.
2010-10-17 13:48:15,659 | DEBUG  | Stat yezooz. cash, earn=3000.
2010-10-17 13:48:15,659 | DEBUG  | Stat yezooz. cash, earn=3000.
2010-10-17 13:48:15,659 | INFO   | yezooz just earned 10 exp
2010-10-17 13:48:15,659 | INFO   | yezooz just earned 10 exp
2010-10-17 13:48:15,667 | DEBUG  | Stat yezooz. exp, earn=30.
2010-10-17 13:48:15,667 | DEBUG  | Stat yezooz. exp, earn=30.
2010-10-17 13:48:15,675 | DEBUG  | Stat yezooz. exp, earn=30.
2010-10-17 13:48:15,675 | DEBUG  | Stat yezooz. exp, earn=30.
2010-10-17 13:48:15,692 | DEBUG  | Stat yezooz. job, done=3.
2010-10-17 13:48:15,692 | DEBUG  | Stat yezooz. job, done=3.
2010-10-17 13:48:15,702 | DEBUG  | Stat yezooz. job, done=3.
2010-10-17 13:48:15,702 | DEBUG  | Stat yezooz. job, done=3.
2010-10-17 14:32:57,925 | DEBUG  | Stat yezooz. album, stick=4.
2010-10-17 14:32:57,925 | DEBUG  | Stat yezooz. album, stick=4.
2010-10-19 00:07:17,438 | DEBUG  | Stat yezooz. friend, add_friend=1.
2010-10-19 00:07:17,487 | DEBUG  | Stat yezooz. friend, add_friend=1.
2010-10-19 00:07:17,505 | DEBUG  | Stat yezooz. friend, confirm_friend=1.
2010-10-19 00:07:17,514 | DEBUG  | Stat yezooz. friend, confirm_friend=1.
