2010-11-06 11:52:23,461 | INFO   | yezooz just spent 20 credit
2010-11-06 11:52:23,461 | INFO   | yezooz just spent 20 credit
2010-11-06 11:52:23,586 | DEBUG  | Stat yezooz. credit, spend=20.
2010-11-06 11:52:23,586 | DEBUG  | Stat yezooz. credit, spend=20.
2010-11-06 11:52:24,904 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:52:24,904 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:52:24,951 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:52:24,951 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:52:24,999 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:52:24,999 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:52:25,047 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-11-06 11:52:25,047 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-11-06 11:52:25,117 | DEBUG  | Stat yezooz. garage, cars=34.
2010-11-06 11:52:25,117 | DEBUG  | Stat yezooz. garage, cars=34.
2010-11-06 11:52:25,161 | DEBUG  | Stat yezooz. car_manuf, Mazda=1.
2010-11-06 11:52:25,161 | DEBUG  | Stat yezooz. car_manuf, Mazda=1.
2010-11-06 11:52:25,170 | DEBUG  | Stat yezooz. car_country, Japan=1.
2010-11-06 11:52:25,170 | DEBUG  | Stat yezooz. car_country, Japan=1.
2010-11-06 11:52:25,212 | DEBUG  | Stat yezooz. car_tier, 3=5.
2010-11-06 11:52:25,212 | DEBUG  | Stat yezooz. car_tier, 3=5.
2010-11-06 11:52:25,223 | DEBUG  | Stat yezooz. car_manuf, Mazda=2.
2010-11-06 11:52:25,223 | DEBUG  | Stat yezooz. car_manuf, Mazda=2.
2010-11-06 11:52:25,234 | DEBUG  | Stat yezooz. car_country, Japan=2.
2010-11-06 11:52:25,234 | DEBUG  | Stat yezooz. car_country, Japan=2.
2010-11-06 11:52:25,252 | DEBUG  | Stat yezooz. car_tier, 3=6.
2010-11-06 11:52:25,252 | DEBUG  | Stat yezooz. car_tier, 3=6.
